term,estimate,std.error,statistic,p.value
(Intercept),11.882010905274525,0.06499822965756415,182.80514666127925,0
cpue10641_log,0.4780710299697274,0.01765225347890843,27.08271952592027,1.3040832610080257e-102
statweek25,-1.1495630394547616,0.10122828343782857,-11.356144749414716,6.058512154064552e-27
statweek26,-1.6461595236009825,0.11018167794271484,-14.940410731962588,1.7533057346414756e-42
statweek27,-1.9272749757949859,0.11623070903347446,-16.581461059829984,3.371974136278744e-50
statweek28,-2.060073516720601,0.1192958682106281,-17.268607434780115,1.6545875910670485e-53
statweek29,-2.1235840419847514,0.12080464226229204,-17.578662559788125,5.163751312642445e-55
statweek30,-2.15988041736199,0.12167880398439043,-17.750671001327976,7.491416805254682e-56
statweek31,-2.1838709277975896,0.12226122472191786,-17.86233478983043,2.1338984058890384e-56
statweek32,-2.195406878580309,0.12254257878116905,-17.91546171474624,1.1732461969806724e-56
statweek33,-2.2022741340117946,0.12271046226796896,-17.94691416940944,8.231902687018277e-57
statweek34,-2.205719249746896,0.12279479562883161,-17.962644413807745,6.89463378673149e-57
statweek35,-2.206934926390213,0.12282457193438744,-17.968187404464572,6.477061669675194e-57
statweek36,-2.2072887843318663,0.12283324091758153,-17.969800095178712,6.360385792106353e-57
statweek37,-2.20747037099128,0.1228376898175363,-17.970627535166667,6.301338945530729e-57
statweek38,-2.2075444738912395,0.12283950540837513,-17.97096517567654,6.27740219847409e-57
statweek39,-2.207594440571579,0.12284072965835681,-17.97119283409757,6.261313824768409e-57
statweek40,-2.207601961491566,0.12284091393222073,-17.97122710035878,6.25889583371736e-57
statweek41,-2.2076019614915694,0.12284091393222088,-17.97122710035879,6.258895833716647e-57
