term,estimate,std.error,statistic,p.value
(Intercept),10.288911472003694,0.09922569040870678,103.69201191368954,6.244915639517656e-260
cpue10641tuya_log,0.6657922456462669,0.028074934190379167,23.714828363673362,3.935793011781381e-74
statweek25,-1.163163728671402,0.14863373863158005,-7.8257045767687226,6.408548124248536e-14
statweek26,-1.8163960858420791,0.15985247806712757,-11.362952315817786,1.3681366236446573e-25
statweek27,-2.166934167374402,0.1674383876804288,-12.941680802076226,1.939744085683691e-31
statweek28,-2.321130433162394,0.17107351014647088,-13.56802950483142,7.854114086954528e-34
statweek29,-2.4180055161716134,0.17344303462958444,-13.941208543402473,2.8440575936660065e-35
statweek30,-2.4441204311732183,0.1740926785966033,-14.039191371376289,1.1852316605333339e-35
statweek31,-2.461007856083829,0.17451518825993714,-14.101969465363688,6.7590853476417845e-036
statweek32,-2.468487413491351,0.17470292169422327,-14.129628683668283,5.276358103318975e-36
statweek33,-2.470921139285262,0.17476408633663568,-14.138609316594382,4.868569686639498e-36
statweek34,-2.474029349581804,0.17484225866808736,-14.150065141164697,4.393720526126679e-36
statweek35,-2.474815664499928,0.17486204473256342,-14.152960799954887,4.281199019259867e-36
statweek36,-2.4751091115699553,0.17486942978674763,-14.154041187120802,4.2399572886654075e-36
statweek37,-2.4754962044464137,0.17487917244623605,-14.155466141672575,4.1861681029637136e-36
statweek38,-2.4755778967874913,0.17488122866897887,-14.15576683460607,4.174904857958004e-36
statweek39,-2.4755778967874895,0.17488122866897884,-14.155766834606062,4.1749048579583005e-36
statweek40,-2.4755778967874855,0.17488122866897862,-14.155766834606057,4.17490485795854e-36
statweek41,-2.4755778967874886,0.17488122866897873,-14.155766834606066,4.174904857958123e-36
