term,estimate,std.error,statistic,p.value
(Intercept),10.693975133111927,0.10490260555312758,101.9419401141185,0
catch108tah_log,0.38970082475251183,0.014053363209459718,27.73007563699721,4.200465156967825e-102
statweek25,-1.0146732047432427,0.1514337530012035,-6.700442831494632,5.778820715723531e-11
statweek26,-2.347212910066168,0.1695820008454449,-13.841167685038645,5.900679717250256e-37
statweek27,-2.7061695023304537,0.17640017768054717,-15.341081499539108,1.3746062095762713e-43
statweek28,-2.8498357570323902,0.17931833593908195,-15.892606531886047,4.357492142569882e-46
statweek29,-2.8994657230879413,0.180350038954408,-16.076878829069276,6.282952178888689e-47
statweek30,-2.9672826511044565,0.18177883523819002,-16.323587106366595,4.6520393095173773e-48
statweek31,-2.972706669609521,0.1818940461996273,-16.343067470977026,3.785869746511021e-48
statweek32,-2.9744830058045584,0.18193180700862396,-16.349439137179356,3.539098280786998e-48
statweek33,-2.9753919498776202,0.18195113475398633,-16.352697958716263,3.419160828519613e-48
statweek34,-2.975676422101278,0.18195718454977186,-16.353717658712856,3.382471981305157e-48
statweek35,-2.975750159768701,0.18195875277086818,-16.353981957196194,3.373026821888903e-48
statweek36,-2.9757935035822065,0.18195967460033802,-16.354137311568255,3.36748725952817e-48
statweek37,-2.9758009479786316,0.18195983292748186,-16.3541639937898,3.366536750212012e-48
statweek38,-2.9758065560871634,0.18195995220069433,-16.35418409433836,3.3658208788390666e-48
statweek39,-2.9758065560871696,0.18195995220069466,-16.354184094338365,3.3658208788389226e-48
statweek40,-2.97580655608717,0.18195995220069464,-16.35418409433837,3.365820878838778e-48
statweek41,-2.975806556087167,0.18195995220069452,-16.35418409433836,3.3658208788390666e-48
