term,estimate,std.error,statistic,p.value
(Intercept),11.00964126796955,0.08890249668714453,123.83950595575979,0
cpue10641tah_log,0.7021870260854173,0.020998071320528097,33.440548675484614,1.4376290506600123e-133
statweek25,-1.304445580958773,0.13162972125838324,-9.909962343521224,2.224411318034054e-21
statweek26,-2.0446159425514447,0.1397965992614979,-14.625648644906363,4.877297345765656e-41
statweek27,-2.442286770467523,0.14539149763586082,-16.798002704286972,3.086239904671917e-51
statweek28,-2.6083557917582576,0.14794841862254138,-17.630170136613067,2.8982199768381117e-55
statweek29,-2.680405156869528,0.149095558969399,-17.977766577337597,5.814103425102986e-57
statweek30,-2.7113940245759163,0.14959578925775455,-18.124801760991858,1.1063903083106788e-57
statweek31,-2.7278757679084147,0.14986349591721107,-18.20240313501943,4.603054879359312e-58
statweek32,-2.732185915563667,0.14993369240010188,-18.22262809531002,3.662022668072816e-58
statweek33,-2.7361309080847454,0.14999801012758832,-18.241114703837685,2.9710546025399072e-58
statweek34,-2.7377068234770987,0.15002372150326002,-18.248492945281377,2.733135171499318e-58
statweek35,-2.738153612194117,0.1500310128423373,-18.250584064719693,2.6692347112521347e-58
statweek36,-2.7382366852175464,0.15003236863918884,-18.250972840418864,2.6575200699367704e-58
statweek37,-2.738373137074927,0.15003459567027377,-18.251611402299254,2.6383901826452594e-58
statweek38,-2.7383731370749276,0.15003459567027377,-18.251611402299257,2.6383901826451094e-58
statweek39,-2.7383731370749276,0.1500345956702738,-18.251611402299254,2.6383901826452594e-58
statweek40,-2.738373137074929,0.15003459567027386,-18.251611402299257,2.6383901826451094e-58
statweek41,-2.7383731370749254,0.15003459567027375,-18.251611402299247,2.6383901826454847e-58
