term,estimate,std.error,statistic,p.value
(Intercept),11.841631194512305,0.07213574295080309,164.1576105009184,0
catch10641_log,0.31005853762223584,0.013920277586384377,22.273876055855993,2.0764796947068884e-78
statweek25,-1.4199937627092047,0.12019245327289384,-11.814333795859428,8.379879167722485e-29
statweek26,-2.348291151028958,0.14661868878320503,-16.016315317764263,1.6496448646351164e-47
statweek27,-2.6390534350688273,0.1562688473071669,-16.887904918639492,1.1404480377391372e-51
statweek28,-2.74612192619829,0.15994412578690287,-17.16925778103917,5.007082395177898e-53
statweek29,-2.7925593047230133,0.16155662856756578,-17.28532793413126,1.3730247960386502e-53
statweek30,-2.818931140489584,0.1624771559246459,-17.349707560101283,6.691949077638481e-54
statweek31,-2.8377652897897927,0.16313665541818498,-17.395019424147545,4.033468998539527e-54
statweek32,-2.8447881353049644,0.1633830071990875,-17.411774847787555,3.3445202432414336e-54
statweek33,-2.8490551562846966,0.1635328040781671,-17.421918326080167,2.9859219836191514e-54
statweek34,-2.8513601191331333,0.16361375773421505,-17.427386050047637,2.808824931779203e-54
statweek35,-2.852255264077877,0.1636452033750945,-17.429507283144527,2.7429783191796873e-54
statweek36,-2.852508352437602,0.1636540948366146,-17.4301068071986,2.7246490782015006e-54
statweek37,-2.8526389877195926,0.16365868441501372,-17.430416222128066,2.715237242722609e-54
statweek38,-2.8526789937586337,0.16366008995399633,-17.430510972837062,2.712361598110218e-54
statweek39,-2.852690711033075,0.16366050162044135,-17.430538723686592,2.7115199473207187e-54
statweek40,-2.852692980184227,0.16366058134327108,-17.430544097853502,2.7113569852735604e-54
statweek41,-2.852692980184229,0.16366058134327116,-17.43054409785351,2.7113569852733286e-54
