term,estimate,std.error,statistic,p.value
(Intercept),10.216206801502196,0.11049710274046623,92.45678436925041,1.5730712945894248e-243
catch10641tuya_log,0.40409004008100824,0.020483245326871687,19.72783285229163,2.4538527656242225e-58
statweek25,-1.7655855682420076,0.17990486978654882,-9.813995420673251,3.456899001124757e-20
statweek26,-2.7057988528278853,0.20776885711255397,-13.023120454294464,9.520562242468842e-32
statweek27,-3.0085448953151825,0.218204134866256,-13.787753825834749,1.1165012948378207e-34
statweek28,-3.111860331596951,0.2218959098230174,-14.023964362745344,1.3580742106152452e-35
statweek29,-3.2568768162004016,0.22718026408441586,-14.336090458061129,8.276708557712714e-37
statweek30,-3.2708351532089295,0.2276949515942435,-14.364987586714776,6.383152687477868e-37
statweek31,-3.277766732358926,0.2279509248380071,-14.379264899619358,5.614004766198466e-37
statweek32,-3.2804516615231694,0.22805014366485438,-14.384782262378954,5.342201758901891e-37
statweek33,-3.2819386664428434,0.22810511078991372,-14.387834867345564,5.19750660324794e-37
statweek34,-3.283022766218173,0.22814519187853546,-14.39005897597901,5.094552283012547e-37
statweek35,-3.2835010770166146,0.2281628778452256,-14.391039892317536,5.049794824155786e-37
statweek36,-3.2836604865739223,0.22816877242304612,-14.391366757610943,5.034967902694682e-37
statweek37,-3.2839203631035425,0.22817838231223944,-14.39189957359687,5.010891955458223e-37
statweek38,-3.2839626430789304,0.22817994580327022,-14.391986252421423,5.006986148433531e-37
statweek39,-3.28397431099299,0.22818037727819218,-14.39201017267688,5.0059088205209424e-37
statweek40,-3.2839743109929853,0.2281803772781919,-14.392010172676876,5.0059088205209424e-37
statweek41,-3.283974310992993,0.22818037727819235,-14.392010172676882,5.0059088205208004e-037
